  PID TTY      STAT   TIME COMMAND
20811 ?        I      0:00 [kworker/3:2-wg-crypt-wg0]
20903 ?        I      0:00 [kworker/1:0-mm_percpu_wq]
21682 ?        I      0:00 [kworker/2:0-mm_percpu_wq]
21754 pts/2    S      0:00 bash
21755 ?        Ss     0:00 ssh-agent bash
22873 ?        I      0:00 [kworker/0:2]
23054 ?        I      0:00 [kworker/2:1-mm_percpu_wq]
23192 ?        S      0:30 [jbd2/md127-8]
23193 ?        I<     0:00 [kworker/R-ext4-]
23275 ?        I      0:00 [kworker/1:2-wg-crypt-wg0]
25333 pts/2    S+     0:00 /bin/bash ./run.sh
25343 ?        Ss     0:02 /mnt/raid/builds/pg-3-btscan/bin/postgres -D data
25344 ?        Ss     0:00 postgres: checkpointer 
25345 ?        Ss     0:02 postgres: background writer 
25347 ?        Ss     0:00 postgres: walwriter 
25348 ?        Ss     0:00 postgres: autovacuum launcher 
25349 ?        Ss     0:00 postgres: logical replication launcher 
27965 ?        I      0:00 [kworker/u8:3-writeback]
29388 ?        I      0:00 [kworker/2:2-events]
29637 ?        S      0:00 /usr/sbin/CROND
29638 ?        S      0:00 /usr/sbin/CROND
29639 ?        Ss     0:00 /usr/lib/sa/sadc -F -L -S XALL 15 4 -S XDISK /var/log/sa
29641 ?        Ss     0:00 /usr/bin/ping -c 4 -i 15 172.31.0.1
29642 ?        S      0:00 /usr/bin/nullmailer-inject -b -f <>
29697 pts/2    S+     0:00 /bin/bash ./run-index.sh i5 3-btscan 20240114-0047/3-btscan/1000 1 15 1 2 4 8 16 32 64 0 1 10 100 1000
29698 pts/2    R+     0:00 ps ax
